Video,Video title,Traffic source,Views,Watch time (hours)
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,NO_LINK_OTHER,26,1.2833
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,SUBSCRIBER,23,0.3667
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,YT_CHANNEL,33,2.5
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,YT_SEARCH,45,1.1
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,RELATED_VIDEO,41,4.5833
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,YT_OTHER_PAGE,14,0.5667
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,EXT_URL,18,0.2333
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,PLAYLIST,42,2.7833
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,NO_LINK_OTHER,0,0.0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,SUBSCRIBER,25,0.2
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,YT_CHANNEL,7,0.0333
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,YT_SEARCH,720,6.2167
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,RELATED_VIDEO,2,0.0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,YT_OTHER_PAGE,144,0.5167
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,EXT_URL,1,0.0333
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,SHORTS,1482,5.3
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,NO_LINK_OTHER,9,0.2167
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,SUBSCRIBER,163,3.75
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,YT_CHANNEL,18,0.5333
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,YT_SEARCH,27,0.5667
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,RELATED_VIDEO,40,2.3667
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,YT_OTHER_PAGE,7,0.2833
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,EXT_URL,1,0.0
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,PLAYLIST,13,0.8
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,NOTIFICATION,1,0.1
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,NO_LINK_OTHER,147,6.0333
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,SUBSCRIBER,540,33.3333
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,YT_CHANNEL,43,3.6667
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,YT_SEARCH,683,45.8333
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,RELATED_VIDEO,79,5.1833
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,YT_OTHER_PAGE,38,4.3833
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,EXT_URL,104,5.95
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,PLAYLIST,47,6.2
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,NOTIFICATION,1,0.0
Ahs_lvfVBuk,🔋 JavaScript Battery API,NO_LINK_OTHER,0,0.0
Ahs_lvfVBuk,🔋 JavaScript Battery API,YT_CHANNEL,7,0.0167
Ahs_lvfVBuk,🔋 JavaScript Battery API,YT_SEARCH,3,0.0
Ahs_lvfVBuk,🔋 JavaScript Battery API,YT_OTHER_PAGE,2,0.0
Ahs_lvfVBuk,🔋 JavaScript Battery API,SHORTS,16,0.0167
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,NO_LINK_OTHER,89,2.9333
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,SUBSCRIBER,130,3.7333
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,YT_CHANNEL,27,0.9667
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,YT_SEARCH,735,27.1667
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,RELATED_VIDEO,79,2.65
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,YT_OTHER_PAGE,43,2.3167
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,EXT_URL,26,0.7
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,PLAYLIST,7,0.55
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,END_SCREEN,1,0.0167
CpAreCzumtc,CSS Filters in 60 seconds (or less),NO_LINK_OTHER,0,0.0
CpAreCzumtc,CSS Filters in 60 seconds (or less),YT_CHANNEL,6,0.0167
CpAreCzumtc,CSS Filters in 60 seconds (or less),YT_SEARCH,15,0.0833
CpAreCzumtc,CSS Filters in 60 seconds (or less),SHORTS,60,0.0333
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,NO_LINK_OTHER,1,0.0167
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,SUBSCRIBER,19,0.15
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,YT_CHANNEL,5,0.0167
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,YT_SEARCH,119,1.4833
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,RELATED_VIDEO,4,0.05
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,YT_OTHER_PAGE,162,0.65
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,EXT_URL,1,0.0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,NOTIFICATION,1,0.0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,END_SCREEN,1,0.0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,SHORTS,788,3.6167
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,NO_LINK_OTHER,35,1.8833
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,SUBSCRIBER,34,2.2
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,YT_CHANNEL,41,3.3
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,YT_SEARCH,45,1.4833
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,RELATED_VIDEO,36,7.6167
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,YT_OTHER_PAGE,15,1.2333
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,EXT_URL,2,0.0667
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,PLAYLIST,56,3.7167
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,END_SCREEN,14,1.0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,NO_LINK_OTHER,1,0.0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,SUBSCRIBER,100,0.4667
