Date,Views,Watch time (hours),Subscribers gained,Subscribers lost
2024-11-04,1,0.0,0,0
2024-11-06,3,0.0,0,0
2024-11-07,3,0.0,0,0
2024-11-08,1,0.0167,0,0
2024-11-11,1,0.0333,0,0
2024-11-13,6,0.0667,1,0
2024-11-14,3,0.0667,0,0
2024-11-15,56,0.8333,2,0
2024-11-16,310,2.5,0,0
2024-11-17,368,2.8167,0,0
2024-11-18,96,0.65,1,0
2024-11-19,30,0.2167,2,0
2024-11-20,125,2.2,1,0
2024-11-21,1032,10.15,4,0
2024-11-22,229,2.1667,1,1
2024-11-23,326,2.9333,3,0
2024-11-24,196,1.45,0,0
2024-11-25,292,2.3167,1,0
2024-11-26,168,1.1,0,0
2024-11-27,103,0.6833,0,0
2024-11-28,25,0.2667,0,0
2024-11-29,15,0.1167,1,0
2024-11-30,29,0.15,1,0
2024-12-01,14,0.0667,1,0
2024-12-02,31,0.2667,1,0
2024-12-03,2,0.0,0,1
2024-12-04,3,0.0167,0,0
2024-12-05,0,0.0,0,0
2024-12-07,0,0.0,0,0
2024-12-08,1,0.0,0,0
2024-12-09,1,0.0,0,0
2024-12-10,14,0.1833,0,0
2024-12-11,31,0.1833,0,0
2024-12-12,156,0.7667,0,0
2024-12-13,247,1.35,0,1
2024-12-14,51,0.3333,0,0
2024-12-15,11,0.2167,1,0
2024-12-16,7,0.0333,0,0
2024-12-17,12,0.7667,0,0
2024-12-18,6,0.15,0,0
2024-12-19,1,0.0,0,0
2024-12-20,0,0.0,0,0
2024-12-21,2,0.2,0,0
2024-12-22,3,0.0167,0,0
2024-12-23,18,0.0833,0,0
2024-12-24,20,0.1,0,0
2024-12-25,3,0.0333,0,0
2024-12-26,0,0.0,0,0
2024-12-27,4,0.0333,0,0
2024-12-28,1,0.0,0,0
2024-12-29,5,0.05,0,0
2024-12-30,3,0.0167,0,0
2024-12-31,3,0.1667,0,0
2025-01-01,2,0.0167,0,0
2025-01-02,3,0.0167,0,0
2025-01-03,4,0.0167,0,0
2025-01-04,0,0.0,0,0
2025-01-05,3,0.0167,0,0
2025-01-06,3,0.0167,0,0
2025-01-07,3,0.0167,0,0
2025-01-08,3,0.0,0,0
2025-01-09,4,0.05,0,0
2025-01-10,2,0.0,0,0
2025-01-11,1,0.0167,0,0
2025-01-13,3,0.0333,0,0
2025-01-14,4,0.1,0,0
2025-01-15,7,0.05,0,1
2025-01-16,0,0.0,0,0
2025-01-17,3,0.0,0,0
2025-01-19,1,0.0,0,0
2025-01-21,1,0.0,0,0
2025-01-22,4,0.0167,0,0
2025-01-23,9,0.1,0,0
2025-01-24,3,0.0,0,0
2025-01-25,4,0.05,0,0
2025-01-26,2,0.0,0,0
2025-01-27,2,0.0333,0,0
2025-01-28,3,0.05,0,0
2025-01-29,1,0.0,0,0
2025-01-30,4,0.0333,0,0
2025-01-31,7,0.1167,0,0
2025-02-01,3,0.0333,0,0
2025-02-03,3,0.0167,0,0
2025-02-04,1,0.0333,0,0
2025-02-05,5,0.1,0,0
2025-02-06,4,0.0167,0,0
2025-02-07,9,0.1167,0,0
2025-02-08,4,0.0333,0,0
2025-02-09,8,0.05,0,0
2025-02-10,8,0.0667,0,0
2025-02-11,4,0.3,0,0
2025-02-12,9,0.2833,0,0
2025-02-13,10,0.0833,1,0
2025-02-14,4,0.0333,0,0
2025-02-15,6,0.0833,0,0
2025-02-16,9,0.0667,0,0
2025-02-17,7,0.1833,0,0
2025-02-18,6,0.0333,0,0
2025-02-19,12,0.4,0,0
2025-02-20,19,0.45,0,0
2025-02-21,12,0.2333,0,0
2025-02-22,8,0.1833,0,0
2025-02-23,7,0.1667,0,0
2025-02-24,5,0.1333,0,0
2025-02-25,12,0.1833,0,0
2025-02-26,10,0.25,1,0
2025-02-27,10,0.0833,0,0
2025-02-28,12,0.4667,0,0
2025-03-01,9,0.3,0,0
2025-03-02,5,0.0333,0,0
2025-03-03,10,0.5167,0,0
2025-03-04,7,0.05,0,0
2025-03-05,12,0.15,0,0
2025-03-06,7,0.1333,0,0
2025-03-07,5,0.0667,0,0
2025-03-08,8,0.0667,0,0
2025-03-09,12,0.1167,0,0
2025-03-10,11,0.1167,0,0
2025-03-11,9,0.3,0,0
2025-03-12,8,0.0667,0,0
2025-03-13,17,0.2667,0,0
2025-03-14,8,0.3667,0,0
2025-03-15,9,0.3667,0,0
2025-03-16,14,0.1667,0,0
2025-03-17,17,0.3833,0,0
2025-03-18,12,0.2167,0,0
2025-03-19,16,0.5,0,0
2025-03-20,17,0.2667,0,0
2025-03-21,5,0.15,0,0
2025-03-22,11,0.0667,0,0
2025-03-23,9,0.0667,0,0
2025-03-24,6,0.1667,0,0
2025-03-25,14,0.15,0,0
2025-03-26,10,0.4833,0,0
2025-03-27,9,0.0333,0,0
2025-03-28,13,0.1333,0,0
2025-03-29,8,0.2667,0,0
2025-03-30,14,0.45,1,0
2025-03-31,12,0.25,1,0
2025-04-01,18,0.35,0,0
2025-04-02,12,0.1167,0,0
2025-04-03,11,0.15,0,0
2025-04-04,17,0.0833,0,0
2025-04-05,16,0.1167,0,0
2025-04-06,14,0.1333,0,0
2025-04-07,18,0.1,0,0
2025-04-08,21,0.7333,2,0
2025-04-09,21,0.2167,0,0
2025-04-10,20,0.5,0,0
2025-04-11,20,0.2667,1,0
2025-04-12,20,0.5333,0,0
2025-04-13,16,0.1167,0,0
2025-04-14,16,0.3333,0,0
2025-04-15,19,0.2667,0,0
2025-04-16,20,0.3,0,0
2025-04-17,13,0.2,0,0
2025-04-18,10,0.0667,0,0
2025-04-19,8,0.1,0,0
2025-04-20,16,0.1333,0,0
2025-04-21,27,0.1333,0,0
2025-04-22,19,0.1167,0,0
2025-04-23,20,0.1667,1,0
2025-04-24,14,0.1,0,0
2025-04-25,10,0.0667,0,0
2025-04-26,16,0.25,0,0
2025-04-27,7,0.1833,0,0
2025-04-28,16,0.5333,0,0
2025-04-29,19,0.2667,0,0
2025-04-30,22,0.15,0,0
2025-05-01,10,0.1667,0,0
2025-05-02,19,0.3667,0,0
2025-05-03,21,0.2833,0,0
2025-05-04,9,0.0833,0,0
2025-05-05,16,0.2167,0,0
2025-05-06,7,0.2667,0,0
2025-05-07,24,0.2833,0,0
2025-05-08,12,0.0667,0,0
2025-05-09,7,0.05,0,0
2025-05-10,12,0.1167,0,0
2025-05-11,8,0.0667,0,0
2025-05-12,8,0.0833,1,0
2025-05-13,8,0.0333,1,0
2025-05-14,16,0.15,0,0
2025-05-15,14,0.1167,0,0
2025-05-16,3,0.0,0,0
2025-05-17,6,0.0167,0,0
2025-05-18,13,0.2833,0,0
2025-05-19,19,0.1167,0,0
2025-05-20,7,0.05,0,0
2025-05-21,19,0.4,0,0
2025-05-22,16,0.1,0,0
2025-05-23,14,0.4833,1,0
2025-05-24,20,0.3333,0,0
2025-05-25,8,0.0333,1,0
2025-05-26,12,0.0667,0,0
2025-05-27,10,0.1,0,0
2025-05-28,15,0.0667,0,0
2025-05-29,12,0.1,0,0
2025-05-30,15,0.2833,0,0
2025-05-31,6,0.0333,0,0
2025-06-01,12,0.25,0,0
2025-06-02,8,0.05,0,0
2025-06-03,8,0.1667,0,0
2025-06-04,12,0.0833,0,0
2025-06-05,12,0.0667,0,0
2025-06-06,8,0.0333,0,0
2025-06-07,15,0.2667,0,0
2025-06-08,10,0.05,0,0
2025-06-09,20,0.2333,0,0
2025-06-10,11,0.05,0,0
2025-06-11,9,0.0667,0,0
2025-06-12,10,0.0667,0,0
2025-06-13,8,0.1,0,0
2025-06-14,10,0.0667,0,0
2025-06-15,14,0.0667,0,0
2025-06-16,8,0.1833,0,0
2025-06-17,21,0.1833,0,0
2025-06-18,7,0.2833,0,0
2025-06-19,8,0.0667,0,0
2025-06-20,9,0.0667,0,0
2025-06-21,16,0.3167,0,0
2025-06-22,8,0.1667,0,0
2025-06-23,26,0.3667,0,0
2025-06-24,12,0.1333,0,0
2025-06-25,23,0.1667,0,0
2025-06-26,16,0.4333,0,0
2025-06-27,12,0.1167,0,0
2025-06-28,12,0.05,0,0
2025-06-29,16,0.25,0,0
2025-06-30,7,0.0167,0,0
2025-07-01,11,0.1167,1,0
2025-07-02,34,0.1667,0,0
2025-07-03,412,1.7833,0,0
2025-07-04,467,1.4167,1,0
2025-07-05,319,0.9667,0,0
2025-07-06,14,0.3,0,0
2025-07-07,29,0.15,0,0
2025-07-08,42,0.2,0,0
2025-07-09,248,0.6667,0,0
2025-07-10,20,0.1167,0,0
2025-07-11,14,0.0667,0,0
2025-07-12,11,0.1667,0,0
2025-07-13,14,0.0833,0,0
2025-07-14,39,0.5333,1,0
2025-07-15,19,0.0833,0,1
2025-07-16,17,0.1,0,0
2025-07-17,6,0.05,0,0
2025-07-18,5,0.1,0,0
2025-07-19,18,0.1167,0,0
2025-07-20,14,0.1,0,0
2025-07-21,12,0.05,0,0
2025-07-22,14,0.1167,0,0
2025-07-23,10,0.0667,0,0
2025-07-24,7,0.2167,0,0
2025-07-25,6,0.0167,0,0
2025-07-26,5,0.05,0,0
2025-07-27,20,0.6667,0,0
2025-07-28,10,0.1167,0,0
2025-07-29,18,0.5,0,0
2025-07-30,13,0.45,0,0
2025-07-31,13,0.5333,0,0
2025-08-01,53,1.4833,1,0
2025-08-02,41,0.6833,2,0
2025-08-03,51,1.8,0,0
2025-08-04,16,0.0833,0,0
2025-08-05,20,0.5333,1,0
2025-08-06,28,0.6833,1,0
2025-08-07,22,0.15,1,0
2025-08-08,37,1.2167,1,1
2025-08-09,18,0.2333,0,0
2025-08-10,19,0.6333,1,0
2025-08-11,32,1.3667,0,0
2025-08-12,25,0.8,0,0
2025-08-13,68,1.1,1,0
2025-08-14,37,1.65,2,0
2025-08-15,65,1.9167,0,0
2025-08-16,35,1.5,1,1
2025-08-17,29,0.3833,0,0
2025-08-18,31,1.8833,1,1
2025-08-19,48,1.55,0,0
2025-08-20,28,0.2667,0,0
2025-08-21,29,0.7667,0,0
2025-08-22,28,0.4,0,0
2025-08-23,12,0.3,0,0
2025-08-24,35,1.0667,0,0
2025-08-25,23,1.9,0,0
2025-08-26,43,1.95,0,0
2025-08-27,25,1.5167,0,0
2025-08-28,24,0.85,0,0
2025-08-29,13,0.4333,0,0
2025-08-30,17,0.1333,1,0
2025-08-31,31,0.7167,0,0
2025-09-01,15,0.5833,0,0
2025-09-02,27,0.15,1,0
2025-09-03,21,0.8333,0,0
2025-09-04,28,0.3,0,0
2025-09-05,23,0.3333,0,0
2025-09-06,13,0.0667,0,0
2025-09-07,30,0.2167,0,0
2025-09-08,28,0.5833,0,0
2025-09-09,16,0.3167,1,0
2025-09-10,25,0.2167,0,0
2025-09-11,45,0.2833,0,0
2025-09-12,170,0.7833,2,0
2025-09-13,1520,3.6167,5,1
2025-09-14,1205,5.3167,2,0
2025-09-15,30,0.9,0,0
2025-09-16,653,4.5833,0,0
2025-09-17,1387,3.2333,3,0
2025-09-18,61,1.15,0,1
2025-09-19,90,0.4833,1,0
2025-09-20,64,0.4667,3,0
2025-09-21,29,0.9833,3,0
2025-09-22,41,1.8833,0,0
2025-09-23,84,1.6833,1,0
2025-09-24,66,3.1667,0,0
2025-09-25,86,2.3167,0,0
2025-09-26,82,1.8667,0,0
2025-09-27,28,0.4333,0,0
2025-09-28,27,1.1667,1,0
2025-09-29,32,0.5333,0,0
2025-09-30,39,0.5167,1,0
2025-10-01,34,1.8167,0,0
2025-10-02,64,0.9667,2,0
2025-10-03,1400,5.5667,5,1
2025-10-04,225,1.6333,1,0
2025-10-05,58,1.1167,0,0
2025-10-06,39,1.2167,1,0
2025-10-07,48,1.2667,1,0
2025-10-08,25,0.45,1,0
2025-10-09,36,0.6167,0,0
2025-10-10,42,0.7833,2,0
