Video,Video title,Elapsed ratio,Audience watch ratio,Relative retention
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.01,1.1044,0.6248
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.02,1.0718,0.5481
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.03,1.0554999999999999,0.4948
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.04,1.0506,0.47375
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.05,1.0293999999999999,0.46325
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.06,0.9118999999999999,0.4563
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.07,0.8254,0.4518
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.08,0.7373999999999999,0.4488
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.09,0.6851999999999999,0.44635
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.1,0.6476000000000001,0.4437
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.11,0.6264,0.44095
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.12,0.6085,0.4387
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.13,0.5856,0.43745
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.14,0.5791,0.4374
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.15,0.5628,0.43795
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.16,0.5334,0.439
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.17,0.522,0.44085
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.18,0.5139,0.44355
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.19,0.4976,0.4468
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.2,0.4796,0.45045
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.21,0.4698,0.4548
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.22,0.45189999999999997,0.46005
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.23,0.4421,0.46575
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.24,0.43229999999999996,0.47135
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.25,0.42090000000000005,0.4771
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.26,0.4111,0.48365
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.27,0.4029,0.4914
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.28,0.39149999999999996,0.49985
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.29,0.385,0.50775
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.3,0.3785,0.51425
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.31,0.3768,0.51975
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.32,0.3654,0.5251
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.33,0.3605,0.53085
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.34,0.35729999999999995,0.53675
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.35,0.354,0.5419
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.36,0.3475,0.5456
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.37,0.34090000000000004,0.54785
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.38,0.34090000000000004,0.5488999999999999
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.39,0.3344,0.549
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.4,0.3295,0.54855
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.41,0.3197,0.54745
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,0.42,0.3165,0.5457
