Date,Content,Video title,Video publish time,Duration,Views,Watch time (hours)
2024-11-06,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,3,0.0
2024-11-07,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,3,0.0
2024-11-08,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,1,0.0167
2024-11-11,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,1,0.0333
2024-11-13,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1,0.0
2024-11-14,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,3,0.0667
2024-11-15,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,56,0.8333
2024-11-16,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,6,0.0167
2024-11-16,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,303,2.4667
2024-11-17,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,4,0.2167
2024-11-17,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,364,2.5833
2024-11-18,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,96,0.65
2024-11-19,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,1,0.0333
2024-11-19,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,29,0.1833
2024-11-20,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,3,0.0333
2024-11-20,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,4,0.0333
2024-11-20,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,6,0.0333
2024-11-20,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,112,2.0667
2024-11-21,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1,0.0
2024-11-21,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,0,0.0
2024-11-21,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,1031,10.15
2024-11-22,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,1,0.0
2024-11-22,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,228,2.1667
2024-11-23,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,2,0.0
2024-11-23,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,324,2.9333
2024-11-24,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,1,0.0
2024-11-24,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,195,1.45
2024-11-25,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,292,2.3167
2024-11-26,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,1,0.0
2024-11-26,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,167,1.1
2024-11-27,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,3,0.0667
2024-11-27,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,100,0.6
2024-11-28,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1,0.05
2024-11-28,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,1,0.0
2024-11-28,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,23,0.2
2024-11-29,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,15,0.1167
2024-11-30,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,3,0.0
2024-11-30,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,1,0.0167
2024-11-30,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,25,0.1333
2024-12-01,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1,0.0
2024-12-01,UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,1,0.0
2024-12-01,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,1,0.0
2024-12-01,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,11,0.05
2024-12-02,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1,0.0333
2024-12-02,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,0,0.0
2024-12-02,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,30,0.2333
2024-12-03,C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1,0.0
2024-12-03,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,1,0.0
2024-12-04,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,1,0.0
2024-12-04,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,2,0.0167
2024-12-05,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,0,0.0
2024-12-07,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,0,0.0
2024-12-08,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,1,0.0
2024-12-09,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,1,0.0
2024-12-10,LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,"Dec 11, 2024",48,8,0.0167
2024-12-10,Qm_OGL5iv7U,RTK Query Tutorial will level up your API game!,"Dec 11, 2024",724,6,0.15
2024-12-10,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,0,0.0
2024-12-11,LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,"Dec 11, 2024",48,22,0.0833
2024-12-11,Qm_OGL5iv7U,RTK Query Tutorial will level up your API game!,"Dec 11, 2024",724,9,0.1
2024-12-11,sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,0,0.0
2024-12-11,ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,0,0.0
2024-12-12,LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,"Dec 11, 2024",48,140,0.5833
