Video,Video title,Device,Views,Watch time (hours)
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,DESKTOP,171,10.05
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,TV,7,0.8167
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,MOBILE,52,1.9167
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,TABLET,12,0.6667
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,DESKTOP,451,3.3333
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,TV,9,0.05
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,MOBILE,1874,8.75
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,TABLET,47,0.1667
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,DESKTOP,152,5.0
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,TV,10,1.1167
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,MOBILE,102,2.0667
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,TABLET,15,0.4667
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,DESKTOP,1051,66.05
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,TV,99,9.2667
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,MOBILE,465,27.7
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,TABLET,66,7.5833
Ahs_lvfVBuk,🔋 JavaScript Battery API,DESKTOP,6,0.0167
Ahs_lvfVBuk,🔋 JavaScript Battery API,MOBILE,19,0.0333
Ahs_lvfVBuk,🔋 JavaScript Battery API,TABLET,3,0.0
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,DESKTOP,790,28.8667
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,TV,26,1.9667
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,MOBILE,302,9.2
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,TABLET,19,1.0167
CpAreCzumtc,CSS Filters in 60 seconds (or less),DESKTOP,11,0.0667
CpAreCzumtc,CSS Filters in 60 seconds (or less),MOBILE,61,0.0667
CpAreCzumtc,CSS Filters in 60 seconds (or less),TABLET,9,0.0167
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,DESKTOP,298,1.7
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,TV,15,0.1333
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,MOBILE,757,4.0167
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,TABLET,31,0.1667
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,DESKTOP,210,18.8333
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,TV,7,0.3167
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,MOBILE,53,2.2833
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,TABLET,8,1.1167
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,DESKTOP,867,5.5833
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,TV,20,0.1333
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,MOBILE,3185,18.15
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,TABLET,56,0.3167
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,DESKTOP,279,1.6333
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,TV,19,0.1167
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,MOBILE,1223,5.0667
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,TABLET,48,0.15
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,DESKTOP,339,8.0333
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,TV,9,0.8
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,MOBILE,112,2.7333
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,TABLET,11,0.65
