Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers gained,Subscribers lost,Net subscribers,Likes,Dislikes,Comments added,Shares,Impressions,Impressions click-through rate (%),Average view duration,Average percentage viewed (%),Subscriber conversion rate (%),Engagement rate (%),Like rate (%),Duration (seconds),anomaly_flag,diagnosis,recommendation,content_opportunity_score,search_gap_keywords
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,"Dec 11, 2024",48.0,4128,24.2167,8,0,8,52,0,1,9,0,0.0,00:00:30,63.82,0.1937984496124031,1.501937984496124,1.2596899224806202,,spike,insufficient_data,double_down,50,
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60.0,2903,26.8833,12,0,12,89,0,1,8,0,0.0,00:00:34,58.25,0.4133654839820875,3.3758181191870476,3.0657940062004823,,normal,insufficient_data,expand_series,50,
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,"Oct 03, 2025",55.0,2381,12.35,6,0,6,51,0,1,5,0,0.0,00:00:42,77.07,0.251994960100798,2.393952120957581,2.141957160856783,,normal,insufficient_data,expand_series,50,
UucfDJm1vSA,The easiest way to implement modals in HTML!,"Sep 16, 2025",38.0,1973,5.1667,4,0,4,40,0,1,1,0,0.0,00:00:28,75.44,0.20273694880892043,2.1287379624936644,2.0273694880892044,,normal,insufficient_data,expand_series,50,
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,"Sep 10, 2025",1769.0,1682,110.6167,30,1,29,35,0,6,0,0,0.0,00:03:56,13.39,1.7241379310344827,2.4375743162901307,2.080856123662307,,normal,insufficient_data,deprecate,50,
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,"Sep 13, 2025",66.0,1569,7.0,2,0,2,19,0,3,2,0,0.0,00:00:35,53.53,0.12746972594008923,1.5296367112810707,1.2109623964308476,,normal,insufficient_data,deprecate,50,
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,"Sep 13, 2025",54.0,1502,3.3833,3,0,3,9,0,0,2,0,0.0,00:00:20,37.72,0.1997336884154461,0.7323568575233023,0.5992010652463382,,normal,insufficient_data,deprecate,50,
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,"Jul 03, 2025",83.0,1211,4.7333,1,0,1,12,0,0,0,0,0.0,00:00:28,34.38,0.08257638315441783,0.990916597853014,0.990916597853014,,normal,insufficient_data,deprecate,50,
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575.0,1137,41.0667,15,1,14,20,0,0,17,0,0.0,00:02:10,22.62,1.2313104661389622,3.2541776605101145,1.759014951627089,,normal,insufficient_data,deprecate,50,
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,"Oct 13, 2025",102.0,1101,6.05,0,0,0,12,0,2,3,0,0.0,00:00:34,33.83,0.0,1.544050862851953,1.08991825613079,,normal,insufficient_data,deprecate,50,
